player,cup,points
Backfisch,keine Ahnung,40
Yoshi,keine Ahnung,44
Einhorn,keine Ahnung,10
Esel,keine Ahnung,15
Maxi,custom,4
Master Baiter,custom,40
Waluigi Love,custom,37
Komodowaran,custom,55
David,keine Ahnung,57
Einhorn,keine Ahnung,24
Letzter Platz,keine Ahnung,26
Addiven,keine Ahnung,57
Backfisch,custom,46
Komodowaran,custom,34
Waluigi Love,custom,23
Dominik,custom,57
Garmin,keine Ahnung,45
Maxi,custom,2
Garmin,keine Ahnung,43
Yoshi,keine Ahnung,57
Letzter Platz,keine ahnung,34
Einhorn,keine Ahnung,25
Waluigi Love,custom,39
Dominik,custom,32
Addiven,keine Ahnung,49
Garmin,keine Ahnung,49
Master Baiter,keine Ahnung,41
Komodowaran,custom,48
Waluigi Love,custom,39
Addiven,keine Ahnung,47
Backfisch,keine Ahnung,38
Yoshi,keine Ahnung,51
Einhorn,keine Ahnung,31
